,work_year,experience_level,job_title,salary_in_usd,employee_residence,remote_ratio,company_location,company_size,salary_normalized
2260,2022,MI,Data Engineering & Infrastructure,120000.0,North America,0,North America,M,0.3735734811254593
2261,2022,MI,Data Engineering & Infrastructure,95000.0,North America,0,North America,M,0.2870981382723437
2262,2022,SE,Data Engineering & Infrastructure,63040.0,Europe,0,Europe,M,0.17654805996892076
2263,2022,SE,Data Engineering & Infrastructure,36773.0,Europe,0,Europe,M,0.0856901467400093
2264,2022,EX,Data Engineering & Infrastructure,301099.75,North America,100,North America,M,1.0
2265,2022,EX,Data Engineering & Infrastructure,239000.0,North America,100,North America,M,0.7851961131062895
2266,2022,SE,Data Management,299500.0,North America,0,North America,M,0.9944664428108292
2267,2022,SE,Data Management,245100.0,North America,0,North America,M,0.8062960967624496
2268,2022,SE,Data Science & Machine Learning,168000.0,North America,100,North America,M,0.5396061394034412
2269,2022,SE,Data Science & Machine Learning,130000.0,North America,100,North America,M,0.4081636182667055
2270,2022,SE,Data Science & Machine Learning,136000.0,North America,100,North America,M,0.42891770055145323
2271,2022,SE,Data Science & Machine Learning,104000.0,North America,100,North America,M,0.3182292616994653
2272,2022,MI,Data Engineering & Infrastructure,161000.0,North America,100,North America,M,0.5153930434045688
2273,2022,MI,Data Engineering & Infrastructure,118000.0,North America,100,North America,M,0.36665545369721003
2274,2022,SE,Data Science & Machine Learning,205000.0,North America,100,North America,M,0.6675896468260523
2275,2022,SE,Data Science & Machine Learning,184000.0,North America,100,North America,M,0.5949503588294351
2276,2022,SE,Data Science & Machine Learning,185900.0,North America,0,North America,M,0.6015224848862719
2277,2022,SE,Data Science & Machine Learning,129300.0,North America,0,North America,M,0.40574230866681826
2278,2022,SE,Data Management,247500.0,North America,0,North America,M,0.8145977296763487
2279,2022,SE,Data Management,172200.0,North America,0,North America,M,0.5541339970027646
2280,2022,SE,Data Management,68293.0,Europe,0,Europe,L,0.1947182590092174
2281,2022,SE,Data Analysis & Analytics,177000.0,North America,0,North America,M,0.5707372628305628
2282,2022,SE,Data Analysis & Analytics,131000.0,North America,0,North America,M,0.41162263198083016
2283,2022,SE,Data Science & Machine Learning,205000.0,North America,100,North America,M,0.6675896468260523
2284,2022,SE,Data Science & Machine Learning,184000.0,North America,100,North America,M,0.5949503588294351
2285,2022,SE,Data Engineering & Infrastructure,146000.0,North America,0,North America,M,0.46350783769269943
2286,2022,SE,Data Engineering & Infrastructure,102000.0,North America,0,North America,M,0.3113112342712161
2287,2022,SE,Data Analysis & Analytics,169000.0,North America,0,North America,M,0.5430651531175658
2288,2022,SE,Data Analysis & Analytics,110600.0,North America,0,North America,M,0.34105875221268783
2289,2022,SE,Data Science & Machine Learning,230000.0,North America,100,North America,M,0.7540649896791678
2290,2022,SE,Data Science & Machine Learning,196000.0,North America,100,North America,M,0.6364585233989306
2291,2022,SE,Data Engineering & Infrastructure,135000.0,North America,0,North America,M,0.4254586868373286
2292,2022,SE,Data Engineering & Infrastructure,100000.0,North America,0,North America,M,0.30439320684296683
2293,2022,MI,Data Engineering & Infrastructure,80000.0,North America,0,North America,M,0.23521293256047437
2294,2022,MI,Data Engineering & Infrastructure,65000.0,North America,0,North America,M,0.18332772684860502
2295,2022,SE,Data Engineering & Infrastructure,135000.0,North America,0,North America,M,0.4254586868373286
2296,2022,SE,Data Engineering & Infrastructure,100000.0,North America,0,North America,M,0.30439320684296683
2297,2022,SE,Data Engineering & Infrastructure,61566.0,Europe,100,Europe,M,0.17144947375430106
2298,2022,SE,Data Engineering & Infrastructure,43096.0,Europe,100,Europe,M,0.10756149045441929
2299,2022,MI,Data Engineering & Infrastructure,175000.0,North America,100,North America,M,0.5638192354023136
2300,2022,MI,Data Engineering & Infrastructure,135000.0,North America,100,North America,M,0.4254586868373286
2301,2022,EN,Data Science & Machine Learning,80000.0,North America,0,North America,M,0.23521293256047437
2302,2022,SE,Data Engineering & Infrastructure,231250.0,North America,100,North America,M,0.7583887568218236
2303,2022,SE,Data Engineering & Infrastructure,138750.0,North America,100,North America,M,0.43842998826529594
2304,2022,SE,Data Analysis & Analytics,193750.0,North America,100,North America,M,0.6286757425421502
2305,2022,SE,Data Analysis & Analytics,116250.0,North America,100,North America,M,0.360602179697492
2306,2022,SE,Data Engineering & Infrastructure,231250.0,North America,100,North America,M,0.7583887568218236
2307,2022,SE,Data Engineering & Infrastructure,138750.0,North America,100,North America,M,0.43842998826529594
2308,2022,SE,Data Analysis & Analytics,231250.0,North America,100,North America,M,0.7583887568218236
2309,2022,SE,Data Analysis & Analytics,138750.0,North America,100,North America,M,0.43842998826529594
2310,2022,SE,Data Analysis & Analytics,231250.0,North America,100,North America,M,0.7583887568218236
2311,2022,SE,Data Analysis & Analytics,138750.0,North America,100,North America,M,0.43842998826529594
2312,2022,SE,Data Engineering & Infrastructure,193750.0,North America,100,North America,M,0.6286757425421502
2313,2022,SE,Data Engineering & Infrastructure,116250.0,North America,100,North America,M,0.360602179697492
2314,2022,SE,Data Science & Machine Learning,208000.0,North America,100,North America,M,0.6779666879684261
2315,2022,SE,Data Science & Machine Learning,127000.0,North America,100,North America,M,0.39778657712433163
